"tout","tous,tout,toute,toutes"
"petit","petit,petite,petites,petits"
"grand","grand,grande,grandes,grands"
"seul","seul,seule,seules,seuls"
"autre","autre,autres"
"même","même,mêmes"
"bon","bon,bonne,bonnes,bons"
"premier","premier,premiers,première,premières"
"beau","beau,beaux,belle,belles"
"jeune","jeune,jeunes"
"vieux","vieille,vieilles,vieux"
"noir","noir,noire,noires,noirs"
"long","long,longs,longue,longues"
"blanc","blanc,blanche,blanches,blancs"
"vrai","vrai,vraie,vraies,vrais"
"sûr","sûr,sûre,sûres,sûrs"
"dernier","dernier,derniers,dernière,dernières"
"plein","plein,pleine,pleines,pleins"
"gros","gros,grosse,grosses"
"français","français,française,françaises"
"rouge","rouge,rouges"
"possible","possible,possibles"
"quoi","quoi"
"bleu","bleu,bleue,bleues,bleus"
"propre","propre,propres"
"mauvais","mauvais,mauvaise,mauvaises"
"haut","haut,haute,hautes,hauts"
"heureux","heureuse,heureuses,heureux"
"pauvre","pauvre,pauvres"
"bas","bas,basse,basses"
"nouveau","nouveau,nouveaux"
"certain","certain,certaine,certaines,certains"
"nouvelle","nouvelle,nouvelles"
"nu","nu,nue,nues,nus"
"libre","libre,libres"
"fou","folle,folles,fou,fous"
"droit","droit,droite,droites,droits"
"froid","froid,froide,froides,froids"
"clair","clair,claire,claires,clairs"
"gris","gris,grise,grises"
"ancien","ancien,ancienne,anciennes,anciens"
"juste","juste,justes"
"léger","léger,légers,légère,légères"
"pareil","pareil,pareille,pareilles,pareils"
"simple","simple,simples"
"entier","entier,entiers,entière,entières"
"vide","vide,vides"
"dur","dur,dure,dures,durs"
"lourd","lourd,lourde,lourdes,lourds"
"vert","vert,verte,vertes,verts"
"doux","douce,douces,doux"
"sec","sec,secs,sèche,sèches"
"fort","fort,forte,fortes,forts"
"cher","cher,chers,chère,chères"
"ouvert","ouvert,ouverte,ouvertes,ouverts"
"moindre","moindre,moindres"
"sombre","sombre,sombres"
"prêt","prêt,prête,prêtes,prêts"
"énorme","énorme,énormes"
"joli","joli,jolie,jolies,jolis"
"difficile","difficile,difficiles"
"immobile","immobile,immobiles"
"chaud","chaud,chaude,chaudes,chauds"
"neuf","neuf,neufs,neuve,neuves"
"mort","mort,morte,mortes,morts"
"frais","frais,fraîche,fraîches"
"humain","humain,humaine,humaines,humains"
"jaune","jaune,jaunes"
"faux","fausse,fausses,faux"
"court","court,courte,courtes,courts"
"large","large,larges"
"immense","immense,immenses"
"profond","profond,profonde,profondes,profonds"
"triste","triste,tristes"
"étrange","étrange,étranges"
"sale","sale,sales"
"facile","facile,faciles"
"national","national,nationale,nationales,nationaux"
"fin","fin,fine,fines,fins"
"militaire","militaire,militaires"
"rose","rose,roses"
"impossible","impossible,impossibles"
"général","général,générale,générales,généraux"
"vif","vif,vifs,vive,vives"
"drôle","drôle,drôles"
"grave","grave,graves"
"vivant","vivant,vivante,vivantes,vivants"
"différent","différent,différente,différentes,différents"
"tranquille","tranquille,tranquilles"
"lointain","lointain,lointaine,lointaines,lointains"
"épais","épais,épaisse,épaisses"
"pur","pur,pure,pures,purs"
"gauche","gauche,gauches"
"second","second,seconde,secondes,seconds"
"terrible","terrible,terribles"
"rare","rare,rares"
"meilleur","meilleur,meilleure,meilleures,meilleurs"
"important","important,importante,importantes,importants"
"allemand","allemand,allemande,allemandes,allemands"
"content","content,contente,contentes,contents"
"capable","capable,capables"
"pâle","pâle,pâles"
"secret","secret,secrets,secrète,secrètes"
"proche","proche,proches"
"présent","présent,présente,présentes,présents"
"rond","rond,ronde,rondes,ronds"
"mince","mince,minces"
"blond","blond,blonde,blondes,blonds"
"commun","commun,commune,communes,communs"
"étroit","étroit,étroite,étroites,étroits"
"naturel","naturel,naturelle,naturelles,naturels"
"étranger","étranger,étrangers,étrangère,étrangères"
"bref","bref,brefs,brève,brèves"
"américain","américain,américaine,américaines,américains"
"silencieux","silencieuse,silencieuses,silencieux"
"malade","malade,malades"
"calme","calme,calmes"
"rapide","rapide,rapides"
"vaste","vaste,vastes"
"politique","politique,politiques"
"inutile","inutile,inutiles"
"unique","unique,uniques"
"britannique","britannique,britanniques"
"brun","brun,brune,brunes,bruns"
"nécessaire","nécessaire,nécessaires"
"obscur","obscur,obscure,obscures,obscurs"
"curieux","curieuse,curieuses,curieux"
