ADJECTIVE,POS FREQ,NEG FREQ,TomDS
tout,0.64,0.36,0.2
petit,0.59,0.41,0.0
grand,0.75,0.25,0.2
seul,0.73,0.27,-0.2
autre,0.48,0.52,-0.1
même,0.47,0.53,0.0
bon,0.56,0.44,0.7
premier,0.51,0.49,0.5
beau,0.77,0.23,0.9
jeune,0.69,0.31,0.5
vieux,0.25,0.75,-0.1
noir,0.82,0.18,-0.5
long,0.4,0.6,-0.1
blanc,0.38,0.62,0.0
vrai,0.68,0.32,0.5
sûr,0.88,0.12,0.2
dernier,0.52,0.48,-0.2
plein,0.68,0.32,0.2
gros,0.18,0.82,0.1
français,0.55,0.45,0.0
rouge,0.33,0.67,0.0
possible,0.43,0.57,0.1
quoi,0.65,0.35,0.0
bleu,0,1,-0.1
propre,0.68,0.32,0.0
mauvais,0.32,0.68,-0.8
haut,0.56,0.44,-0.1
heureux,0.38,0.62,0.9
pauvre,0.36,0.64,-0.4
bas,0.4,0.6,-0.1
nouveau,0.81,0.19,0.5
certain,0.65,0.35,0.2
nouvelle,0.5,0.5,0.5
nu,0.67,0.33,0.4
libre,0.77,0.23,0.3
fou,1,0,-0.6
droit,0.57,0.43,0.0
froid,0.4,0.6,-0.5
clair,0.38,0.62,0.2
gris,0,0,-0.2
ancien,0.5,0.5,0.0
juste,0.65,0.35,0.2
léger,0.5,0.5,0.1
pareil,0.44,0.56,0.0
simple,0.66,0.34,0.1
entier,0.57,0.43,0.0
vide,0.19,0.81,-0.2
dur,0.86,0.14,-0.3
lourd,0.18,0.82,-0.3
vert,1,0,
doux,1,0,
sec,1,0,
fort,0.59,0.41,
cher,0.46,0.54,
ouvert,0.43,0.57,
moindre,0.38,0.62,
sombre,1,0,
prêt,0.71,0.29,
énorme,0.17,0.83,
joli,0.78,0.22,
difficile,0.61,0.39,
immobile,0,0,
chaud,0,0,
neuf,0,1,
mort,0.96,0.04,
frais,0.57,0.43,
humain,0.84,0.16,
jaune,0,0,
faux,0.38,0.62,
court,0.55,0.45,
large,0,0,
immense,0.86,0.14,
profond,0.88,0.12,
